"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 05- 04","1,304.22","1,299.86","1,304.22","1,296.41","9.06K","0.06%"
"2016- 05- 03","1,303.38","1,308.16","1,308.26","1,298.34","5.65K","0.31%"
"2016- 05- 02","1,299.33","1,302.99","1,303.89","1,296.11","5.09K","-0.33%"
"2016- 04- 29","1,303.60","1,301.79","1,308.54","1,297.44","9.05K","0.00%"
"2016- 04- 28","1,303.58","1,336.15","1,336.15","1,299.99","14.82K","-1.90%"
"2016- 04- 27","1,328.77","1,331.19","1,335.39","1,321.56","13.02K","-0.38%"
"2016- 04- 26","1,333.81","1,324.44","1,338.46","1,323.99","13.77K","0.74%"
"2016- 04- 25","1,324.07","1,320.86","1,324.07","1,315.66","6.40K","0.55%"
"2016- 04- 22","1,316.78","1,316.62","1,321.88","1,313.90","5.33K","-0.59%"
"2016- 04- 21","1,324.56","1,321.58","1,326.81","1,318.81","8.64K","0.72%"
"2016- 04- 20","1,315.14","1,319.87","1,325.05","1,314.43","8.30K","-0.21%"
"2016- 04- 19","1,317.87","1,324.73","1,328.07","1,314.49","7.10K","-0.22%"
"2016- 04- 18","1,320.80","1,324.11","1,327.41","1,315.71","9.27K","-0.62%"
"2016- 04- 15","1,329.00","1,325.98","1,332.90","1,323.22","12.96K","-0.07%"
"2016- 04- 14","1,329.90","1,338.12","1,338.54","1,324.84","10.96K","0.92%"
"2016- 04- 12","1,317.79","1,313.13","1,320.99","1,311.67","6.65K","0.60%"
"2016- 04- 11","1,309.87","1,307.26","1,312.98","1,300.00","9.15K","0.32%"
"2016- 04- 08","1,305.68","1,299.11","1,306.04","1,291.49","9.87K","0.15%"
"2016- 04- 07","1,303.69","1,305.77","1,310.41","1,296.89","11.34K","0.30%"
"2016- 04- 06","1,299.75","1,300.69","1,305.90","1,296.05","8.20K","-0.20%"
"2016- 04- 05","1,302.34","1,316.12","1,316.55","1,302.14","6.97K","-1.50%"
"2016- 04- 04","1,322.20","1,308.33","1,322.34","1,305.66","8.49K","1.26%"
"2016- 04- 01","1,305.76","1,323.74","1,324.77","1,301.85","8.49K","-1.30%"
"2016- 03- 31","1,323.00","1,334.91","1,335.62","1,317.88","10.85K","-0.53%"
"2016- 03- 30","1,330.11","1,331.86","1,340.54","1,326.03","9.11K","0.87%"
"2016- 03- 29","1,318.67","1,310.99","1,319.10","1,307.88","6.97K","0.99%"
"2016- 03- 28","1,305.78","1,311.96","1,314.86","1,304.69","7.06K","-0.52%"
"2016- 03- 25","1,312.63","1,329.79","1,332.38","1,309.43","9.28K","-1.23%"
"2016- 03- 24","1,329.02","1,341.35","1,342.46","1,327.61","8.65K","-1.27%"
"2016- 03- 23","1,346.09","1,347.88","1,352.80","1,339.03","7.73K","-0.28%"
"2016- 03- 22","1,349.86","1,337.69","1,349.86","1,335.08","9.02K","1.25%"
"2016- 03- 21","1,333.16","1,338.35","1,346.47","1,327.92","8.00K","0.16%"
"2016- 03- 18","1,331.09","1,331.87","1,335.30","1,325.08","8.77K","0.48%"
"2016- 03- 17","1,324.79","1,329.04","1,339.32","1,322.34","8.86K","0.20%"
"2016- 03- 16","1,322.18","1,327.34","1,329.13","1,317.40","7.47K","-0.38%"
"2016- 03- 15","1,327.26","1,339.05","1,340.69","1,321.67","8.42K","0.02%"
"2016- 03- 14","1,326.97","1,344.16","1,344.74","1,323.30","8.63K","-0.52%"
"2016- 03- 11","1,333.86","1,325.90","1,338.49","1,322.58","9.49K","0.84%"
"2016- 03- 10","1,322.79","1,306.58","1,329.49","1,304.38","8.69K","1.73%"
