"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 05- 26","390.81","390.41","391.98","389.56","3.33K","0.04%"
"2014- 05- 23","390.64","391.66","393.73","389.73","3.70K","-0.22%"
"2014- 05- 22","391.51","389.56","392.52","387.59","3.53K","0.93%"
"2014- 05- 21","387.92","388.35","390.98","386.51","4.81K","-0.51%"
"2014- 05- 20","389.89","393.58","395.39","387.88","5.23K","-0.75%"
"2014- 05- 19","392.82","395.50","396.67","391.88","5.05K","-0.32%"
"2014- 05- 16","394.10","393.09","395.01","392.10","5.19K","-0.14%"
"2014- 05- 15","394.67","387.57","396.77","387.21","5.77K","1.89%"
"2014- 05- 14","387.35","385.17","387.35","383.78","4.06K","0.75%"
"2014- 05- 13","384.45","381.45","384.86","378.55","4.61K","1.34%"
"2014- 05- 12","379.36","384.71","385.03","378.02","4.33K","-1.54%"
"2014- 05- 09","385.30","384.29","386.51","383.50","3.66K","0.00%"
"2014- 05- 08","385.31","383.94","385.31","380.84","4.09K","0.36%"
"2014- 05- 07","383.91","392.82","393.38","383.91","4.82K","-2.55%"
"2014- 05- 02","393.95","394.65","395.50","392.65","3.43K","0.03%"
"2014- 04- 30","393.83","392.18","395.57","391.88","5.26K","0.72%"
"2014- 04- 29","391.03","388.54","391.57","388.19","4.95K","0.99%"
"2014- 04- 28","387.18","384.87","388.24","384.78","3.30K","0.47%"
"2014- 04- 25","385.37","389.39","390.20","384.96","4.56K","-1.57%"
"2014- 04- 24","391.50","395.07","395.40","390.00","4.28K","-0.79%"
"2014- 04- 23","394.62","399.04","399.73","394.62","4.88K","-0.67%"
"2014- 04- 22","397.29","394.59","397.29","392.03","5.21K","0.63%"
"2014- 04- 21","394.81","398.54","398.86","393.01","3.44K","-0.89%"
"2014- 04- 18","398.34","397.06","399.47","397.06","3.55K","0.59%"
"2014- 04- 17","396.01","397.51","397.93","393.14","3.80K","0.54%"
"2014- 04- 16","393.87","396.33","396.78","392.41","5.17K","-0.39%"
