Date,WTI,USDKRW,VIX,per,pbr,RSI,MACD,Stochastic,ATR,CCI,ADX,WilliamsR,ROC,Momentum,MFI,forward_stage
2011-04-01,0.9023120312403148,0.2237407966136038,0.112304554724677,0.4743646901471244,0.9363636363636364,0.8097425488729837,0.6522279792746114,0.9862612385089404,0.2345051531836792,0.894044356691801,0.3841394825646793,1.0,0.7115384615384615,0.7696342970846272,0.8199684155114931,down
2011-04-04,0.9055972230831216,0.1922184945849188,0.1136641740312712,0.4721355327686135,0.927272727272727,0.9858989424206815,0.6620725388601036,0.9841398121022328,0.2273048143442044,0.8527684635155146,0.3817022872140981,0.9532,0.7115384615384615,0.7634035796476629,0.7267941744165641,down
2011-04-05,0.9047914213103576,0.1951455654875822,0.1102651257647858,0.4783771734284441,0.9363636363636364,0.9823736780258518,0.672607944732297,0.984240832407314,0.2216574897642242,0.8333134755153104,0.3820772403449568,1.0,0.7115384615384615,0.7558262232807742,0.7724162133707667,down
2011-04-06,0.90782867414616,0.1967216805890164,0.1055064581917063,0.4765938475256354,0.9363636363636364,0.961756222625788,0.6785492227979274,0.9658551368825136,0.2103628406042637,0.814249970213273,0.3852643419572553,0.9455,0.6730769230769229,0.7296873586782839,0.6508159326197577,down
2011-04-07,0.9169404326535672,0.1879404678810257,0.108361658735554,0.4748105216228265,0.9363636363636364,0.927144535840188,0.6805872193436959,0.9500959692898272,0.2073979951997741,0.7788122755357356,0.3803899512560929,0.9064,0.6538461538461537,0.7148039836393419,0.5536058957711877,neutral
2011-04-08,0.9323746358395836,0.1978474770900411,0.1186947654656696,0.4770396790013375,0.9363636363636364,0.9172096998183954,0.6823834196891192,0.9288817052227496,0.1976563602993082,0.7636976391891203,0.3760779902512184,0.9369,0.6730769230769229,0.7221502004884078,0.6202842603965607,neutral
2011-04-11,0.9145850120870266,0.1796095737734444,0.1012916383412644,0.4752563530985287,0.9363636363636364,0.8741587437239611,0.6808290155440414,0.9114051924436812,0.1908795708033319,0.7383193477557829,0.3691413573303337,0.8936,0.6346153846153845,0.6918206759323464,0.543779610457975,neutral
2011-04-12,0.8918366081943842,0.1962713619886065,0.1080897348742352,0.4618814088274632,0.909090909090909,0.7139194530498878,0.669119170984456,0.8047277502778059,0.1989270083298037,0.678745893686916,0.3374578177727784,0.5893999999999999,0.596153846153846,0.6413217160601766,0.4744692051237058,up
2011-04-13,0.8971672968449761,0.2030261409947535,0.1057783820530251,0.4752563530985287,0.9363636363636364,0.7267385963038138,0.6676683937823834,0.7747247196686534,0.2127629535507553,0.6818777552722507,0.3031496062992126,0.848,0.6153846153846153,0.6716411910719848,0.5388664678013686,neutral
2011-04-14,0.9033657720200832,0.1991984328912703,0.0969408565601631,0.4828354881854659,0.9454545454545452,0.7296229035359469,0.6705354058721934,0.8105869279725225,0.2169984469857405,0.7020135827475278,0.2851518560179977,0.9999,0.6153846153846153,0.675058036118062,0.6020354448148796,down
2011-04-15,0.9129734085414988,0.1991984328912703,0.0840244731475187,0.4819438252340615,0.9454545454545452,0.7236406366841148,0.6713644214162349,0.9408021012223458,0.205421431596781,0.6961413422750251,0.269591301087364,0.9761,0.596153846153846,0.655149888952536,0.5188629584137567,down
2011-04-18,0.8972292815967272,0.2014500258933194,0.1063222297756628,0.4810521622826571,0.9454545454545452,0.6849695545347718,0.6699481865284974,0.9393878169512072,0.2000564732457997,0.6868308624534051,0.2600299962504687,0.844,0.5769230769230769,0.6369602138543017,0.442358308475171,down
2011-04-19,0.9036137110270872,0.203251300294958,0.0909585316111488,0.4752563530985287,0.9363636363636364,0.5834846704411922,0.6634196891191709,0.8058389736337004,0.1997741070168008,0.6545080083743255,0.2360329958755155,0.6032,0.5576923076923076,0.6074648014712533,0.3698894542902262,neutral
2011-04-20,0.9240686791049402,0.1901920608830742,0.0806254248810333,0.494872938029425,0.9727272727272728,0.6517466082683474,0.6701208981001727,0.8137185574300435,0.2209515741917266,0.7006519037973822,0.2364079490063741,0.9997,0.6153846153846153,0.6600942647250947,0.4458676960870327,down
2011-04-21,0.92927539825203,0.1726296354670928,0.0754588715159755,0.5078020508247882,0.9909090909090909,0.6759961542570239,0.6820034542314335,0.8329124153954944,0.2346463362981787,0.7470851559973448,0.2572178477690288,0.9009,0.6153846153846153,0.6742339734893023,0.5230742235479907,down
2011-04-25,0.9292134135002788,0.1823114853759029,0.0901427600271923,0.5135978600089166,1.0,0.6963999572695225,0.6992400690846287,0.9262551772906354,0.2151630664972469,0.7426767203962485,0.2986501687289088,0.9848,0.6346153846153845,0.7001115499412102,0.5069310405334269,down
2011-04-26,0.9287795202380212,0.1789340958728296,0.0881033310673011,0.509585376727597,1.0,0.6765302852259374,0.7024179620034542,0.9206990605111628,0.2134688691232528,0.7275280420758796,0.3213348331458567,0.8843,0.6346153846153845,0.68450460771604,0.4188454114756974,down
2011-04-27,0.9321886815843302,0.1762321842703706,0.0844323589394969,0.2171199286669639,0.8,0.6922337357119965,0.7033851468048359,0.9000909182745732,0.2258929831992094,0.7220132423277902,0.3462692163479565,0.8343,0.6346153846153845,0.6905142351794346,0.4958764695560623,down
2011-04-28,0.9328085291018408,0.1579942809537744,0.0745071380013596,0.2175657601426661,0.8,0.6858241640850338,0.7029360967184801,0.8532174967168401,0.2289990117181985,0.7146261340232507,0.369328833895763,0.8452999999999999,0.6730769230769229,0.725325856472409,0.5546587120547463,down
