날짜,WTI,환율,VIX,PER,PBR,수출금액지수,OBV,ADX
2023-07-03,-1.571935371,0.742104262,-1.187070431,1.358915054,1.147078669,0,1.801055828,0.160689247
2023-07-04,-0.893767075,-0.247535539,-1.000299894,1.061884441,1.147078669,0,1.067001527,-0.941179873
2023-07-05,-0.503953802,0.680816924,-0.310685604,0.527229338,0.229415734,0,0.413321319,-1.483766939
2023-07-06,-0.498613895,1.235417096,1.499551906,-0.304456378,0.229415734,0,-0.165546639,-1.099782246
2023-07-07,0.601407121,0.109136673,0.623167079,-1.373766585,-1.605910137,0,-0.833076928,0.0939093
2023-07-10,0.136835138,0.259843242,0.967974224,-1.611391075,-1.605910137,0,-1.444443502,1.19577842
2023-07-11,1.119378181,-0.536892151,0.637534044,-0.0668318879,0.229415734,0,-0.798397197,1.24586338
2023-07-12,1.610649702,-2.242890508,-1.230171324,0.408417093,0.229415734,0,-0.0399144071,0.828488713
