Date,forward_stage,WTI,USDKRW
031207,down,89.31,931.41
041207,down,88.32,921.14
051207,down,87.49,931.41
061207,down,90.23,919.91
071207,down,88.28,918.54
101207,down,87.86,922.82
111207,down,90.02,925.38
121207,down,94.39,924.64
131207,down,92.25,921.34
141207,down,91.27,928.59
171207,down,90.63,929.69
181207,down,90.49,929.69
191207,down,91.24,935.68
201207,down,91.06,943.18
211207,down,93.31,937.68
241207,down,94.13,921.89
251207,down,94.13,937.09
261207,down,95.97,931.2
271207,down,96.62,938.7
281207,down,96.0,935.07
311207,down,95.98,926.36
010108,down,95.98,941.12
020108,down,99.62,937.12
030108,down,99.18,935.15
040108,down,97.91,939.53
070108,down,95.09,939.27
080108,down,96.33,938.89
090108,down,95.67,936.71
100108,down,93.71,932.77
110108,down,92.69,936.83
140108,neutral,94.2,936.84
150108,neutral,91.9,937.01
160108,neutral,90.84,937.83
170108,neutral,90.13,947.44
180108,neutral,90.57,941.76
210108,neutral,90.57,949.02
220108,up,89.85,950.29
230108,up,86.99,947.98
240108,up,89.41,946.02
250108,up,90.71,945.5
280108,up,90.99,949.17
290108,up,91.64,942.93
300108,up,92.33,940.64
310108,up,91.75,941.22
010208,up,88.96,946.46
040208,up,90.02,942.17
050208,up,88.41,943.06
060208,up,87.14,942.32
070208,up,88.11,941.84
080208,up,91.77,940.57
110208,up,93.59,944.48
120208,up,92.78,945.29
130208,up,93.27,945.52
140208,up,95.46,943.82
150208,up,95.5,943.77
180208,up,95.5,944.36
190208,up,100.01,943.61
200208,up,100.74,941.68
210208,up,98.23,947.31
220208,up,98.81,947.35
250208,up,99.23,945.45
260208,up,100.88,939.41
270208,up,99.64,941.08
280208,up,102.59,934.04
290208,up,101.84,937.84
030308,up,102.45,945.48
040308,up,99.52,946.24
050308,up,104.52,947.55
060308,up,105.47,947.07
070308,up,105.15,955.47
100308,up,107.9,964.74
110308,up,108.75,969.04
120308,up,109.92,967.05
130308,up,110.33,979.5
140308,up,110.21,996.22
170308,up,105.68,987.99
180308,up,109.42,1017.4
190308,up,104.48,1010.3
200308,up,101.84,1008.1
210308,up,101.84,978.14
240308,up,100.86,1008.4
250308,up,101.22,974.92
260308,up,105.9,982.31
270308,neutral,107.58,985.64
280308,neutral,105.62,991.89
310308,neutral,101.58,992.28
010408,neutral,100.98,992.28
020408,down,104.83,970.1
030408,down,103.83,974.53
040408,down,106.23,972.87
070408,down,109.09,974.55
080408,down,108.5,975.75
090408,down,110.87,974.21
100408,down,110.11,975.75
110408,down,110.14,973.29
140408,down,111.76,979.01
150408,down,113.79,986.73
160408,down,114.93,989.6
170408,down,114.86,992.3
180408,down,116.69,1000.2
210408,down,117.48,995.16
220408,down,119.37,997.47
230408,down,118.3,991.32
240408,down,116.06,994.52
250408,down,118.52,995.0
280408,down,118.75,994.99
290408,down,115.63,1004.0
300408,down,113.46,1002.4
010508,down,112.52,1002.4
020508,down,116.32,1008.4
050508,down,119.97,1006.5
060508,down,121.84,1015.4
070508,down,123.53,1028.5
080508,down,123.69,1040.4
090508,down,125.96,1041.1
120508,down,124.23,1037.8
130508,down,125.8,1048.7
140508,down,124.22,1046.8
150508,down,124.12,1046.0
160508,down,126.29,1036.1
190508,down,127.05,1039.8
200508,down,129.07,1047.6
210508,down,133.17,1039.0
220508,down,130.81,1041.6
230508,down,132.19,1045.0
260508,down,132.19,1047.5
270508,down,128.85,1044.2
280508,down,131.03,1031.2
290508,down,126.62,1031.1
300508,down,127.35,1029.1
020608,down,127.76,1021.7
030608,down,124.31,1016.4
040608,down,122.3,1019.6
050608,down,127.79,1020.6
060608,down,138.54,1026.3
090608,down,134.35,1036.5
100608,down,131.31,1027.3
110608,down,136.38,1030.1
120608,down,136.74,1029.4
130608,down,134.86,1043.2
160608,down,134.61,1037.8
170608,down,134.01,1020.7
180608,down,136.68,1026.0
190608,down,131.93,1027.0
200608,down,134.62,1030.7
230608,down,136.74,1034.0
240608,down,137.0,1033.3
250608,down,134.55,1026.7
260608,down,139.64,1039.4
270608,down,140.21,1041.1
300608,down,140.0,1046.0
010708,down,140.97,1046.0
020708,down,143.57,1035.5
030708,down,145.29,1042.8
040708,down,145.29,1047.7
070708,down,141.37,1039.3
080708,down,136.04,1025.0
090708,down,136.05,999.21
100708,down,141.65,996.53
110708,down,145.08,996.42
140708,down,145.18,1004.3
150708,down,138.74,1007.1
160708,down,134.6,1007.7
170708,down,129.29,1010.8
180708,down,128.88,1012.7
210708,down,131.04,1015.0
220708,down,127.95,1015.5
230708,down,124.44,1009.9
240708,down,125.49,1004.1
250708,down,123.26,1007.5
280708,down,124.73,1005.7
290708,down,122.19,1005.7
300708,down,126.77,1010.4
310708,down,124.08,1010.7
010808,down,125.1,1010.7
040808,down,121.41,1010.7
050808,down,119.17,1010.7
060808,down,118.58,1010.7
070808,down,120.02,1010.7
080808,down,115.2,1010.7
110808,down,114.45,1010.7
120808,down,113.01,1010.7
130808,down,116.0,1010.7
140808,down,115.01,1010.7
150808,down,113.77,1010.7
180808,down,112.87,1010.7
190808,down,114.53,1010.7
200808,down,114.98,1010.7
210808,down,121.18,1010.7
220808,down,114.59,1010.7
250808,down,115.11,1010.7
260808,down,116.27,1089.16
270808,down,118.15,1083.91
280808,down,115.59,1078.6
290808,down,115.46,1088.4
010908,down,115.46,1116.01
020908,down,109.71,1133.66
030908,down,109.35,1148.1
040908,down,107.89,1137.7
050908,down,106.23,1116.7
080908,down,106.34,1077.9
090908,down,103.26,1101.6
100908,down,102.58,1093.0
110908,down,100.87,1104.9
120908,down,101.18,1100.7
150908,down,95.71,1098.8
160908,down,91.15,1160.0
170908,down,97.16,1099.6
180908,down,97.88,1158.5
190908,down,104.55,1136.6
220908,down,120.92,1119.0
230908,down,106.61,1147.1
240908,down,105.73,1154.2
250908,down,108.02,1157.3
260908,down,106.89,1160.0
290908,down,96.37,1183.7
300908,down,100.64,1204.8
011008,down,98.53,1189.9
021008,down,93.97,1226.8
031008,down,93.88,1229.9
061008,down,87.81,1268.1
071008,down,90.06,1333.5
081008,down,88.95,1397.6
091008,down,86.59,1386.6
101008,down,77.7,1313.8
131008,down,81.19,1229.0
141008,down,78.63,1209.7
151008,down,74.54,1249.2
161008,down,69.85,1362.5
171008,neutral,71.85,1337.0
201008,down,74.25,1309.0
211008,down,70.89,1311.6
221008,up,66.75,1420.3
231008,up,67.84,1399.4
241008,up,64.15,1428.0
271008,up,63.22,1466.6
281008,up,62.73,1415.1
291008,up,67.5,1378.8
301008,neutral,65.96,1246.1
311008,down,67.81,1289.2
031108,down,63.91,1272.1
041108,down,70.53,1258.7
051108,down,65.3,1277.9
061108,up,60.77,1336.9
071108,neutral,61.04,1315.4
101108,down,62.41,1329.8
111108,neutral,59.33,1334.6
121108,up,56.16,1367.0
131108,up,58.24,1363.7
141108,up,57.04,1413.8
171108,up,54.95,1419.1
181108,up,54.39,1453.4
191108,up,53.62,1456.5
201108,up,49.62,1506.9
211108,up,49.93,1486.0
241108,up,54.5,1507.9
251108,up,50.77,1501.0
261108,up,54.44,1468.4
271108,up,54.44,1474.9
281108,down,54.43,1467.9
011208,neutral,49.28,1443.4
021208,neutral,46.96,1465.3
031208,up,46.79,1463.8
041208,up,43.67,1487.7
051208,neutral,40.81,1467.6
081208,down,43.71,1450.1
091208,down,42.07,1440.6
101208,down,43.52,1393.9
111208,down,47.98,1351.9
121208,down,46.28,1370.2
151208,down,44.51,1358.9
161208,down,43.6,1324.3
171208,down,40.06,1318.9
181208,down,36.22,1282.7
191208,down,33.87,1281.4
221208,down,39.91,1307.5
231208,neutral,38.98,1338.9
241208,neutral,35.35,1318.1
251208,neutral,35.35,1331.7
261208,up,37.71,1330.5
291208,up,40.02,1279.2
301208,up,39.03,1252.9
311208,up,44.6,1242.2
010109,up,44.6,1240.1
020109,up,46.34,1322.5
050109,neutral,48.81,1307.8
060109,neutral,48.58,1304.4
070109,neutral,42.63,1301.0
080109,up,41.7,1330.4
090109,up,40.83,1351.7
120109,up,37.59,1352.2
130109,up,37.78,1352.1
140109,up,37.28,1348.8
150109,up,35.4,1384.8
160109,up,36.51,1346.8
190109,up,36.51,1365.0
200109,up,38.74,1358.3
210109,up,43.55,1354.2
220109,up,43.67,1367.7
230109,up,46.47,1377.4
260109,up,45.73,1386.1
270109,up,41.58,1383.3
280109,up,42.16,1381.8
290109,up,41.44,1379.0
300109,up,41.68,1377.1
020209,up,40.08,1390.8
030209,up,40.78,1394.7
040209,up,40.32,1377.4
050209,up,41.17,1388.5
060209,up,40.17,1366.9
090209,up,39.56,1387.4
100209,up,37.55,1393.7
110209,up,35.94,1396.8
120209,up,33.98,1391.7
130209,up,37.51,1405.8
160209,up,37.51,1423.7
170209,up,34.93,1453.0
180209,up,34.62,1461.5
190209,up,39.48,1483.0
200209,up,38.94,1489.7
230209,up,38.44,1504.7
240209,up,39.96,1500.1
250209,up,42.5,1515.6
260209,up,45.22,1517.5
270209,up,44.76,1530.3
020309,up,40.15,1571.4
030309,up,41.65,1553.0
040309,up,45.38,1546.6
050309,up,43.61,1568.6
060309,up,45.52,1553.9
090309,up,47.07,1547.7
100309,up,45.71,1504.8
110309,up,42.33,1460.5
120309,up,47.03,1484.0
130309,up,46.25,1479.3
160309,up,47.35,1439.6
170309,up,49.16,1412.5
180309,up,48.14,1381.9
190309,up,51.61,1393.1
200309,up,51.06,1399.5
230309,up,53.8,1382.5
240309,up,53.98,1391.6
250309,up,52.77,1352.8
260309,up,54.34,1333.6
270309,up,52.38,1343.1
300309,up,48.41,1391.8
310309,up,49.66,1375.1
010409,up,48.39,1376.8
020409,up,52.64,1328.3
030409,up,52.51,1331.8
060409,up,51.05,1300.7
070409,up,49.15,1317.3
080409,up,49.38,1353.1
090409,up,52.24,1319.9
100409,up,52.24,1318.1
130409,up,50.05,1299.4
140409,up,49.41,1320.5
150409,up,49.25,1328.3
160409,up,49.98,1333.1
170409,up,50.33,1325.8
200409,neutral,45.88,1327.5
210409,neutral,46.51,1354.3
220409,up,48.85,1346.6
230409,up,49.62,1333.6
240409,up,51.55,1340.3
270409,up,50.14,1350.5
280409,up,49.92,1344.9
290409,up,50.97,1341.3
300409,up,51.12,1278.1
010509,up,53.2,1264.7
040509,up,54.47,1262.1
050509,up,53.84,1273.1
060509,up,56.34,1271.8
070509,up,56.71,1259.1
080509,up,58.63,1228.8
110509,up,58.5,1235.6
120509,up,58.85,1236.7
130509,up,58.02,1241.1
140509,up,58.62,1262.1
150509,up,56.34,1255.0
180509,up,59.03,1256.0
190509,up,59.65,1242.3
200509,up,62.04,1245.5
210509,up,61.05,1233.5
220509,up,61.67,1243.8
250509,up,61.67,1244.5
260509,up,62.45,1264.8
270509,up,63.45,1273.2
280509,up,65.08,1267.2
290509,up,66.31,1250.1
010609,up,68.58,1249.5
020609,up,68.55,1231.1
030609,up,66.12,1240.4
040609,up,68.81,1247.4
050609,up,68.44,1253.2
080609,up,68.09,1245.6
090609,up,70.01,1257.5
100609,up,71.33,1257.4
110609,up,72.68,1250.9
120609,up,72.04,1250.9
150609,up,70.62,1257.1
160609,up,70.47,1263.9
170609,up,71.03,1261.3
180609,up,71.37,1269.8
190609,up,69.55,1272.5
220609,up,66.93,1280.6
230609,up,69.24,1281.8
240609,up,68.67,1281.1
250609,up,70.23,1285.5
260609,up,69.16,1282.2
290609,up,71.49,1279.1
300609,up,69.89,1272.6
010709,up,69.31,1261.9
020709,up,66.73,1279.8
030709,up,66.73,1267.7
060709,up,64.05,1267.0
070709,up,62.93,1277.2
080709,up,60.14,1274.8
090709,up,60.41,1277.4
100709,up,59.89,1287.2
130709,up,59.69,1307.2
140709,up,59.52,1294.8
150709,up,61.54,1272.2
160709,up,62.02,1263.2
170709,up,63.56,1259.6
200709,up,63.98,1243.2
210709,up,64.72,1246.8
220709,up,65.4,1251.9
230709,up,67.16,1255.6
240709,up,68.05,1245.0
270709,up,68.38,1239.0
280709,up,67.23,1240.8
290709,up,63.35,1244.7
300709,up,66.94,1229.7
310709,up,69.45,1223.1
030809,up,71.58,1213.9
040809,up,71.42,1217.6
050809,neutral,71.97,1223.0
060809,neutral,71.94,1223.3
070809,neutral,70.93,1222.6
100809,down,70.6,1228.1
110809,down,69.45,1241.4
120809,neutral,70.16,1241.4
130809,down,70.52,1235.4
140809,down,67.51,1240.1
170809,neutral,66.75,1256.4
180809,neutral,69.19,1243.3
190809,neutral,72.42,1251.1
200809,down,72.54,1242.8
210809,down,73.89,1240.7
240809,down,74.37,1227.1
250809,down,72.05,1252.2
260809,down,71.43,1247.7
270809,neutral,72.49,1238.2
280809,neutral,72.74,1221.6
310809,neutral,69.96,1249.5
010909,down,68.05,1248.0
020909,down,68.05,1244.2
030909,down,67.96,1246.5
040909,down,68.02,1235.1
070909,down,68.02,1232.7
