Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2201.2099609375,2202.320068359375,2171.840087890625,2175.169921875,2175.169921875,494700
2020-01-03,2192.580078125,2203.3798828125,2165.389892578125,2176.4599609375,2176.4599609375,631600
2020-01-06,2154.969970703125,2164.419921875,2149.949951171875,2155.070068359375,2155.070068359375,592700
2020-01-07,2166.60009765625,2181.6201171875,2164.27001953125,2175.5400390625,2175.5400390625,568200
2020-01-08,2156.27001953125,2162.320068359375,2137.719970703125,2151.31005859375,2151.31005859375,913800
2020-01-09,2182.199951171875,2186.449951171875,2172.159912109375,2186.449951171875,2186.449951171875,592600
2020-01-10,2189.47998046875,2206.919921875,2188.10009765625,2206.389892578125,2206.389892578125,594500
2020-01-13,2204.489990234375,2230.429931640625,2204.489990234375,2229.260009765625,2229.260009765625,488300
2020-01-14,2243.06005859375,2250.7900390625,2232.93994140625,2238.8798828125,2238.8798828125,835900
2020-01-15,2229.800048828125,2238.2099609375,2223.389892578125,2230.97998046875,2230.97998046875,746200
2020-01-16,2231.929931640625,2249.090087890625,2225.409912109375,2248.050048828125,2248.050048828125,808300
2020-01-17,2261.570068359375,2268.7099609375,2245.580078125,2250.570068359375,2250.570068359375,580800
2020-01-20,2261.39990234375,2277.22998046875,2258.090087890625,2262.639892578125,2262.639892578125,545500
2020-01-21,2259.81005859375,2266.31005859375,2238.25,2239.68994140625,2239.68994140625,770300
2020-01-22,2238.530029296875,2269.27001953125,2235.1298828125,2267.25,2267.25,608500
2020-01-23,2254.5400390625,2260.6298828125,2241.93994140625,2246.1298828125,2246.1298828125,509600
2020-01-28,2192.219970703125,2199.929931640625,2166.22998046875,2176.719970703125,2176.719970703125,808500
2020-01-29,2188.179931640625,2195.449951171875,2172.330078125,2185.280029296875,2185.280029296875,692300
2020-01-30,2181.5400390625,2187.449951171875,2139.719970703125,2148.0,2148.0,602700
