Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,294.19000244140625,294.57000732421875,289.9599914550781,290.3500061035156,290.3500061035156,66200
2020-01-03,293.1000061035156,294.8800048828125,289.0400085449219,290.739990234375,290.739990234375,79800
2020-01-06,287.7300109863281,289.4100036621094,287.489990234375,288.42999267578125,288.42999267578125,70000
2020-01-07,290.010009765625,292.260009765625,289.6400146484375,291.2300109863281,291.2300109863281,65300
2020-01-08,288.94000244140625,291.010009765625,287.29998779296875,289.4200134277344,289.4200134277344,124500
2020-01-09,293.8299865722656,294.4100036621094,292.1000061035156,294.4100036621094,294.4100036621094,111800
2020-01-10,294.79998779296875,297.1700134277344,294.1700134277344,297.05999755859375,297.05999755859375,94200
2020-01-13,296.6199951171875,300.30999755859375,296.5299987792969,300.1300048828125,300.1300048828125,81700
2020-01-14,302.20001220703125,303.6099853515625,300.69000244140625,301.5299987792969,301.5299987792969,92100
2020-01-15,299.9100036621094,301.1300048828125,298.82000732421875,299.739990234375,299.739990234375,71800
2020-01-16,299.92999267578125,302.9100036621094,298.95001220703125,302.7799987792969,302.7799987792969,85700
2020-01-17,305.07000732421875,306.04998779296875,302.510009765625,303.29998779296875,303.29998779296875,81500
2020-01-20,304.989990234375,307.5400085449219,304.7699890136719,305.5799865722656,305.5799865722656,78000
2020-01-21,304.94000244140625,306.0899963378906,301.8500061035156,302.1099853515625,302.1099853515625,67600
2020-01-22,301.7900085449219,306.5199890136719,301.1600036621094,306.0799865722656,306.0799865722656,79300
2020-01-23,303.7699890136719,304.7200012207031,301.7099914550781,302.3299865722656,302.3299865722656,86900
2020-01-28,294.9800109863281,296.29998779296875,291.29998779296875,292.7699890136719,292.7699890136719,130200
2020-01-29,294.3800048828125,295.6700134277344,292.45001220703125,293.9800109863281,293.9800109863281,85700
2020-01-30,293.2699890136719,294.1099853515625,287.0899963378906,288.3699951171875,288.3699951171875,101500
