base_date,m_return,kospi,before_last
2016-02-29,0.005,1916.66,2016-01-28
2016-03-31,0.039,1995.85,2016-02-26
2016-04-30,-0.004,1994.15,2016-03-30
2016-05-31,-0.009,1983.4,2016-04-28
2016-06-30,0.002,1970.35,2016-05-30
2016-07-31,0.031,2016.19,2016-06-29
2016-08-31,0.007,2034.65,2016-07-28
2016-09-30,0.002,2043.63,2016-08-30
2016-10-31,-0.029,2008.19,2016-09-29
2016-11-30,-0.018,1983.48,2016-10-28
2016-12-31,0.024,2026.46,2016-11-29
2017-01-31,0.021,2067.57,2016-12-28
2017-02-28,0.004,2091.64,2017-01-26
2017-03-31,0.036,2160.23,2017-02-27
2017-04-30,0.019,2205.44,2017-03-30
2017-05-31,0.062,2347.38,2017-04-27
2017-06-30,0.021,2391.79,2017-05-30
2017-07-31,0.003,2402.71,2017-06-29
2017-08-31,-0.016,2363.19,2017-07-28
2017-09-30,0.009,2394.47,2017-08-30
2017-10-31,0.063,2523.43,2017-09-28
2017-11-30,-0.01,2476.37,2017-10-30
2017-12-31,-0.018,2467.49,2017-11-29
2018-01-31,0.053,2566.46,2017-12-27
2018-02-28,-0.055,2427.36,2018-01-30
2018-03-31,-0.004,2445.85,2018-02-27
2018-04-30,0.032,2515.38,2018-03-29
2018-05-31,-0.028,2423.01,2018-04-27
2018-06-30,-0.034,2326.13,2018-05-30
2018-07-31,-0.008,2295.26,2018-06-28
2018-08-31,0.013,2322.88,2018-07-30
2018-09-30,0.015,2343.07,2018-08-30
2018-10-31,-0.138,2029.69,2018-09-27
2018-11-30,0.041,2096.86,2018-10-30
2018-12-31,-0.035,2041.04,2018-11-29
2019-01-31,0.087,2204.85,2018-12-27
2019-02-28,-0.005,2195.44,2019-01-30
2019-03-31,-0.042,2140.67,2019-02-27
2019-04-30,0.035,2203.59,2019-03-28
2019-05-31,-0.079,2041.74,2019-04-29
2019-06-30,0.045,2130.62,2019-05-30
2019-07-31,-0.051,2024.55,2019-06-27
2019-08-31,-0.035,1967.79,2019-07-30
2019-09-30,0.067,2063.05,2019-08-29
2019-10-31,0.016,2083.48,2019-09-27
2019-11-30,0.004,2087.96,2019-10-30
2019-12-31,0.037,2197.67,2019-11-28
2020-01-31,-0.039,2119.01,2019-12-27
2020-02-29,-0.075,1987.01,2020-01-30
2020-03-31,-0.146,1754.64,2020-02-27
2020-04-30,0.134,1947.56,2020-03-30
2020-05-31,0.049,2029.6,2020-04-28
2020-06-30,0.039,2108.33,2020-05-28
2020-07-31,0.074,2249.37,2020-06-29
2020-08-31,0.026,2326.17,2020-07-30
2020-09-30,-0.011,2327.89,2020-08-28
2020-10-31,-0.018,2267.15,2020-09-28
2020-11-30,0.114,2591.34,2020-10-29
2020-12-31,0.091,2873.47,2020-11-27
