base_date,before_last,KOSPI,m_return
2011-04-29,2011-04-28,2192.360107421875,-0.007240695327858315
2011-05-31,2011-05-27,2142.469970703125,0.020107216634817737
2011-06-30,2011-06-29,2100.68994140625,0.002993678328669036
2011-07-29,2011-07-28,2133.2099609375,-0.01050172122048909
2011-08-31,2011-08-30,1880.1099853515625,0.019681986375914118
2011-09-30,2011-09-29,1769.6500244140625,0.00020346316523278674
2011-10-31,2011-10-28,1909.030029296875,-0.010598685334328728
2011-11-30,2011-11-29,1847.510009765625,-0.004853171347917851
2011-12-29,2011-12-28,1825.739990234375,0.0003397010162873304
2012-01-31,2012-01-30,1955.7900390625,0.007853438381338451
2012-02-29,2012-02-28,2030.25,0.013255573152755051
2012-03-30,2012-03-29,2014.0400390625,-0.00018367418296649785
2012-04-30,2012-04-27,1981.989990234375,0.0033614370772288016
2012-05-31,2012-05-30,1843.469970703125,-0.0007534526519489271
2012-06-29,2012-06-28,1854.010009765625,0.019145964130179438
2012-07-31,2012-07-30,1881.989990234375,0.020718167666909704
2012-08-31,2012-08-30,1905.1199951171875,-0.0006609436536250124
2012-09-28,2012-09-27,1996.2099609375,0.0037763413033724547
2012-10-31,2012-10-26,1912.06005859375,0.010907093731717499
2012-11-30,2012-11-29,1932.9000244140625,-0.001007804840933213
2012-12-28,2012-12-27,1997.050048828125,0.004880908426472486
2013-01-31,2013-01-30,1961.93994140625,-0.0012676003912602818
2013-02-28,2013-02-27,2026.489990234375,0.011202346626955295
2013-03-28,2013-03-27,1993.52001953125,4.017082397944627e-05
2013-04-30,2013-04-29,1963.949951171875,0.011980213626511693
2013-05-31,2013-05-30,2001.050048828125,0.00047501287624851507
2013-06-28,2013-06-27,1863.3199462890625,0.015599278290113316
2013-07-31,2013-07-30,1914.030029296875,-0.0015753472545466662
2013-08-30,2013-08-29,1926.3599853515625,0.009866081918947334
2013-09-30,2013-09-27,1996.9599609375,-0.007376522283747522
2013-10-31,2013-10-30,2030.0899658203125,-0.01431850726170103
2013-11-29,2013-11-27,2044.8699951171875,0.007915938929526689
2013-12-30,2013-12-27,2011.3399658203125,0.004524809912137551
2014-01-29,2014-01-28,1941.1500244140625,0.012634770192182065
2014-02-28,2014-02-27,1979.989990234375,0.000788471910094346
2014-03-31,2014-03-28,1985.6099853515625,0.002327100126987558
2014-04-30,2014-04-29,1961.7900390625,-0.0015167070136080651
2014-05-30,2014-05-29,1994.9599609375,-0.008597322783421069
2014-06-30,2014-06-27,2002.2099609375,0.006889556051814738
2014-07-31,2014-07-30,2076.1201171875,-0.0031162771232341457
2014-08-29,2014-08-28,2068.5400390625,-0.0034782299828294283
2014-09-30,2014-09-29,2020.0899658203125,-0.0032122815770501134
2014-10-31,2014-10-30,1964.4300537109375,0.0028076551225404422
2014-11-28,2014-11-26,1980.780029296875,-3.0258135170768696e-05
2014-12-30,2014-12-29,1915.5899658203125,-0.006364580220804994
2015-01-30,2015-01-29,1949.260009765625,-0.0009020972352953294
2015-02-27,2015-02-26,1985.800048828125,-0.0036525916606843234
2015-03-31,2015-03-30,2041.030029296875,0.005413681515094915
2015-04-30,2015-04-29,2127.169921875,-0.0072154136659414725
2015-05-29,2015-05-28,2114.800048828125,0.0018523733823105903
2015-06-30,2015-06-29,2074.199951171875,0.006653738189691838
2015-07-31,2015-07-30,2030.1600341796875,0.0055125504431889905
2015-08-31,2015-08-28,1941.489990234375,0.001971412161218433
2015-09-30,2015-09-25,1962.81005859375,0.010273610036098058
2015-10-30,2015-10-29,2029.469970703125,-0.0023056511767786114
2015-11-30,2015-11-27,1991.969970703125,-0.01824554074166418
2015-12-30,2015-12-29,1961.31005859375,-0.0025428339636200947
2016-01-29,2016-01-28,1912.06005859375,0.002684991318459895
2016-02-29,2016-02-26,1916.6600341796875,-0.0018227647371564792
2016-03-31,2016-03-30,1995.8499755859375,-0.0031416579342501416
2016-04-29,2016-04-28,1994.1500244140625,-0.0033884389333354026
2016-05-31,2016-05-27,1983.4000244140625,0.007226384797241581
2016-06-30,2016-06-29,1970.3499755859375,0.007151030658532287
2016-07-29,2016-07-28,2016.18994140625,-0.002429387085744694
2016-08-31,2016-08-30,2034.6500244140625,-0.0024953993375046446
2016-09-30,2016-09-29,2043.6300048828125,-0.01212825620462532
2016-10-31,2016-10-28,2008.18994140625,-0.005561053319606768
2016-11-30,2016-11-29,1983.47998046875,0.0025727817986469503
2016-12-29,2016-12-28,2026.4599609375,0.0009730701127828034
2017-01-31,2017-01-26,2067.570068359375,-0.007688661807499941
2017-02-28,2017-02-27,2091.639892578125,0.002934459026795011
2017-03-31,2017-03-30,2160.22998046875,-0.0020372497635727793
2017-04-28,2017-04-27,2205.43994140625,-0.0018194579681563017
2017-05-31,2017-05-30,2347.3798828125,0.0015786930296770585
2017-06-30,2017-06-29,2391.7900390625,-0.001615368286338903
2017-07-31,2017-07-28,2402.7099609375,0.0007163589644774149
2017-08-31,2017-08-30,2363.18994140625,-0.003835997077257125
2017-09-29,2017-09-28,2394.469970703125,0.008988125053945861
2017-10-31,2017-10-30,2523.429931640625,0.00859336615630224
2017-11-30,2017-11-29,2476.3701171875,-0.014536904204651813
2017-12-28,2017-12-27,2467.489990234375,0.012648437969661197
2018-01-31,2018-01-30,2566.4599609375,-0.0004985042495514458
2018-02-28,2018-02-27,2427.360107421875,-0.011717486142876377
2018-03-29,2018-03-28,2436.3701171875,0.007059954717797634
2018-04-30,2018-04-27,2515.3798828125,0.0092200214127518
2018-05-31,2018-05-30,2423.010009765625,0.005803157411379489
