"날짜","종가","시가","고가","저가","거래량","변동 %"
"2013- 10- 08","986.49","991.70","992.03","982.57","9.03K","-0.64%"
"2013- 10- 07","992.84","992.93","1,000.21","990.96","11.94K","-0.43%"
"2013- 10- 04","997.12","990.60","999.30","990.26","10.83K","0.33%"
"2013- 10- 02","993.86","999.94","1,002.13","993.86","11.96K","-0.30%"
"2013- 10- 01","996.85","995.30","1,003.26","993.52","9.93K","0.00%"
"2013- 09- 30","996.86","994.04","999.97","990.10","8.61K","0.27%"
"2013- 09- 27","994.22","994.37","996.02","991.78","7.01K","0.15%"
"2013- 09- 26","992.74","989.28","994.85","986.37","7.60K","0.10%"
"2013- 09- 25","991.79","991.00","992.06","986.05","9.46K","0.18%"
"2013- 09- 24","989.97","989.49","994.79","985.68","9.55K","-0.12%"
"2013- 09- 23","991.17","980.97","991.17","980.32","12.77K","0.83%"
"2013- 09- 17","982.97","985.22","985.55","976.71","10.12K","-0.60%"
"2013- 09- 16","988.93","1,003.97","1,006.90","982.02","11.38K","-0.69%"
"2013- 09- 13","995.83","994.65","1,002.17","994.11","11.78K","-0.41%"
"2013- 09- 12","999.88","987.92","1,001.03","984.06","13.13K","1.29%"
"2013- 09- 11","987.11","980.90","987.41","979.82","9.36K","0.73%"
"2013- 09- 10","979.95","977.76","979.97","970.47","9.88K","-0.07%"
"2013- 09- 09","980.67","976.81","983.05","974.96","7.41K","0.76%"
"2013- 09- 06","973.25","978.24","979.21","970.70","8.18K","-0.58%"
"2013- 09- 05","978.95","969.36","978.95","967.34","8.65K","1.09%"
"2013- 09- 04","968.39","974.86","975.39","967.92","11.47K","-0.82%"
"2013- 09- 03","976.35","973.17","978.36","971.08","11.65K","0.69%"
"2013- 09- 02","969.69","965.47","973.76","964.36","13.18K","0.42%"
"2013- 08- 30","965.65","961.08","966.11","958.84","10.15K","0.83%"
"2013- 08- 29","957.72","949.43","962.64","949.37","10.32K","0.91%"
"2013- 08- 28","949.04","937.89","950.77","937.36","10.91K","0.34%"
"2013- 08- 27","945.84","942.29","952.03","941.49","10.21K","0.24%"
"2013- 08- 26","943.58","939.71","947.20","938.96","7.51K","0.53%"
"2013- 08- 23","938.62","937.04","941.62","932.39","12.11K","-0.06%"
"2013- 08- 22","939.16","943.81","944.73","932.59","15.07K","-1.31%"
"2013- 08- 21","951.67","966.14","966.63","949.99","18.79K","-1.38%"
"2013- 08- 20","964.99","973.65","977.15","964.30","17.28K","-1.35%"
"2013- 08- 19","978.18","977.53","980.62","975.38","24.06K","-0.24%"
"2013- 08- 16","980.51","967.78","984.65","967.50","6.23K","-0.09%"
"2013- 08- 14","981.36","979.44","983.19","975.17","6.65K","0.26%"
"2013- 08- 13","978.85","981.46","982.42","977.67","7.28K","-0.08%"
"2013- 08- 12","979.67","981.35","986.92","977.58","5.81K","-0.40%"
"2013- 08- 09","983.57","984.55","986.98","978.61","8.29K","-0.54%"
"2013- 08- 08","988.95","990.07","993.46","983.60","9.04K","0.56%"
"2013- 08- 07","983.41","992.88","997.46","983.41","6.37K","-1.11%"
"2013- 08- 06","994.46","1,001.49","1,001.64","990.72","6.79K","-0.78%"
"2013- 08- 05","1,002.31","1,004.09","1,006.87","1,000.46","6.31K","-0.01%"
"2013- 08- 02","1,002.37","1,009.04","1,009.48","998.98","7.59K","-0.26%"
"2013- 08- 01","1,004.99","1,004.71","1,008.28","999.51","8.52K","0.00%"
"2013- 07- 31","1,005.04","997.48","1,005.04","994.57","8.55K","0.73%"
"2013- 07- 30","997.74","997.04","999.24","992.74","9.85K","0.15%"
"2013- 07- 29","996.24","988.30","998.73","985.96","8.62K","0.69%"
"2013- 07- 26","989.37","989.64","989.99","985.41","5.76K","-0.14%"
