"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 03- 26","1,840.45","1,843.88","1,856.75","1,824.98","19.82M","-0.08%"
"2021- 03- 25","1,841.98","1,829.51","1,854.42","1,820.63","14.05M","0.19%"
"2021- 03- 24","1,838.57","1,867.13","1,867.13","1,829.25","15.64M","-1.53%"
"2021- 03- 23","1,867.21","1,894.67","1,912.27","1,865.01","20.07M","-1.29%"
"2021- 03- 22","1,891.53","1,901.67","1,911.92","1,885.81","23.32M","-0.58%"
"2021- 03- 19","1,902.66","1,910.43","1,912.83","1,880.89","17.36M","-0.55%"
"2021- 03- 18","1,913.15","1,900.44","1,937.52","1,900.19","18.62M","0.99%"
"2021- 03- 17","1,894.48","1,913.04","1,914.50","1,882.72","13.79M","-1.04%"
"2021- 03- 16","1,914.31","1,898.31","1,918.36","1,898.14","14.00M","0.93%"
"2021- 03- 15","1,896.59","1,890.24","1,912.56","1,872.17","16.19M","0.39%"
"2021- 03- 12","1,889.19","1,860.90","1,891.42","1,860.07","13.36M","1.66%"
"2021- 03- 11","1,858.38","1,843.64","1,876.56","1,841.22","16.54M","1.19%"
"2021- 03- 10","1,836.58","1,872.74","1,891.90","1,831.71","14.90M","-1.67%"
"2021- 03- 09","1,867.84","1,872.83","1,891.62","1,834.52","20.31M","-0.17%"
"2021- 03- 08","1,870.98","1,884.77","1,906.09","1,866.10","16.78M","-0.63%"
"2021- 03- 05","1,882.75","1,877.35","1,894.09","1,832.22","22.09M","-0.10%"
"2021- 03- 04","1,884.58","1,905.05","1,906.03","1,864.26","33.45M","-1.15%"
"2021- 03- 03","1,906.51","1,883.60","1,907.86","1,872.69","16.92M","1.24%"
"2021- 03- 02","1,883.22","1,861.45","1,927.56","1,861.44","28.26M","1.40%"
"2021- 02- 26","1,857.28","1,894.03","1,917.12","1,832.61","33.34M","-2.01%"
"2021- 02- 25","1,895.46","1,848.65","1,898.08","1,848.65","18.44M","2.70%"
"2021- 02- 24","1,845.60","1,922.73","1,938.30","1,841.78","29.73M","-3.92%"
"2021- 02- 23","1,920.82","1,913.45","1,937.24","1,878.50","24.49M","0.39%"
"2021- 02- 22","1,913.37","1,927.60","1,956.92","1,911.12","17.09M","-0.71%"
"2021- 02- 19","1,926.98","1,905.83","1,929.08","1,882.93","18.47M","1.00%"
"2021- 02- 18","1,907.92","1,940.16","1,957.19","1,907.92","22.88M","-1.94%"
"2021- 02- 17","1,945.57","1,975.20","1,975.20","1,935.30","16.91M","-1.67%"
"2021- 02- 16","1,978.62","1,979.20","1,995.00","1,965.83","14.99M","0.14%"
"2021- 02- 15","1,975.91","1,979.47","1,993.04","1,969.56","16.63M","-0.05%"
"2021- 02- 10","1,976.97","1,952.34","1,984.51","1,933.97","23.15M","1.60%"
"2021- 02- 09","1,945.77","1,942.81","1,976.13","1,929.23","34.97M","0.16%"
"2021- 02- 08","1,942.65","2,016.96","2,016.96","1,929.52","50.40M","-5.79%"
