"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 01- 12","747.61","761.50","761.50","746.79","1.21K","-1.03%"
"2016- 01- 11","755.38","763.49","765.38","754.83","1.42K","-2.51%"
"2016- 01- 08","774.82","763.68","775.79","761.29","1.42K","0.70%"
"2016- 01- 07","769.43","780.10","781.98","765.55","1.52K","-1.62%"
"2016- 01- 06","782.08","784.11","784.60","777.28","1.24K","0.13%"
"2016- 01- 05","781.05","774.51","784.29","773.53","1.36K","0.90%"
"2016- 01- 04","774.09","790.52","791.50","774.09","1.89K","-2.41%"
"2015- 12- 30","793.22","806.05","807.21","788.20","2.07K","-1.54%"
"2015- 12- 29","805.66","811.95","812.34","798.85","1.24K","-1.53%"
"2015- 12- 28","818.15","831.54","832.24","817.07","1.47K","-1.43%"
"2015- 12- 24","830.05","843.01","843.51","828.90","1.76K","-0.36%"
"2015- 12- 23","833.09","812.06","839.69","811.62","2.87K","2.51%"
"2015- 12- 22","812.70","807.67","814.00","802.12","1.26K","0.78%"
"2015- 12- 21","806.41","799.78","809.32","798.67","1.14K","0.79%"
"2015- 12- 18","800.12","791.40","802.80","790.45","1.16K","0.25%"
"2015- 12- 17","798.11","805.41","808.80","793.56","1.42K","0.11%"
"2015- 12- 16","797.21","782.27","802.17","782.27","1.95K","2.77%"
"2015- 12- 15","775.70","778.67","780.90","770.76","1.56K","0.02%"
"2015- 12- 14","775.58","785.11","785.66","774.84","1.64K","-2.56%"
"2015- 12- 11","795.97","796.95","804.56","791.39","1.46K","-0.02%"
"2015- 12- 10","796.15","793.05","797.57","786.29","1.58K","0.35%"
"2015- 12- 09","793.36","792.56","798.31","789.13","1.36K","-0.10%"
"2015- 12- 08","794.17","799.11","802.35","790.47","1.64K","-1.24%"
"2015- 12- 07","804.18","816.77","817.47","804.18","0.96K","-0.65%"
"2015- 12- 04","809.45","811.64","813.51","807.10","0.89K","-1.20%"
"2015- 12- 03","819.31","815.89","820.68","805.70","1.13K","-0.17%"
"2015- 12- 02","820.70","819.95","823.62","816.50","1.16K","-0.19%"
"2015- 12- 01","822.29","810.24","827.13","809.57","1.51K","2.42%"
"2015- 11- 30","802.86","808.00","809.08","800.31","1.48K","-1.06%"
"2015- 11- 27","811.49","815.91","815.91","809.20","0.90K","-0.19%"
"2015- 11- 26","813.01","802.48","814.45","800.53","1.41K","1.53%"
"2015- 11- 25","800.76","805.80","810.46","800.60","1.20K","-0.21%"
"2015- 11- 24","802.42","799.96","805.72","795.82","1.04K","-0.01%"
"2015- 11- 23","802.54","805.71","807.43","799.83","0.85K","-0.04%"
"2015- 11- 20","802.89","803.98","805.51","799.53","0.83K","0.18%"
"2015- 11- 19","801.44","796.04","802.70","791.49","1.04K","1.66%"
"2015- 11- 18","788.38","794.17","796.02","788.24","1.42K","-0.92%"
"2015- 11- 17","795.70","796.37","800.39","789.48","1.52K","1.31%"
