"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 21","1,510.03","1,514.97","1,518.62","1,505.48","3.92M","0.21%"
"2023- 03- 20","1,506.82","1,514.81","1,527.19","1,504.26","4.06M","-0.57%"
"2023- 03- 17","1,515.40","1,542.26","1,542.34","1,508.48","5.44M","-0.99%"
"2023- 03- 16","1,530.60","1,520.71","1,532.56","1,509.44","4.84M","-0.42%"
"2023- 03- 15","1,537.01","1,553.50","1,556.89","1,527.03","5.05M","0.27%"
"2023- 03- 14","1,532.89","1,562.16","1,563.65","1,526.93","4.70M","-2.54%"
"2023- 03- 13","1,572.92","1,562.16","1,574.40","1,539.70","4.38M","0.79%"
"2023- 03- 10","1,560.60","1,547.49","1,567.60","1,541.70","5.54M","-0.28%"
"2023- 03- 09","1,565.06","1,591.54","1,594.52","1,561.55","7.37M","-1.17%"
"2023- 03- 08","1,583.57","1,601.59","1,602.13","1,580.47","5.90M","-2.70%"
"2023- 03- 07","1,627.50","1,612.80","1,643.58","1,608.39","8.12M","1.20%"
"2023- 03- 06","1,608.21","1,606.38","1,609.11","1,584.64","7.79M","1.06%"
"2023- 03- 03","1,591.37","1,579.23","1,592.93","1,573.04","8.79M","1.52%"
"2023- 03- 02","1,567.58","1,534.48","1,572.45","1,534.48","6.55M","2.01%"
"2023- 02- 28","1,536.71","1,537.90","1,544.74","1,531.46","5.87M","0.48%"
"2023- 02- 27","1,529.31","1,538.73","1,538.73","1,520.59","5.85M","-1.25%"
"2023- 02- 24","1,548.67","1,559.81","1,568.10","1,546.45","6.65M","-0.67%"
"2023- 02- 23","1,559.15","1,564.41","1,570.38","1,547.49","7.06M","-0.10%"
"2023- 02- 22","1,560.70","1,579.85","1,583.08","1,560.70","9.16M","-2.31%"
"2023- 02- 21","1,597.57","1,566.97","1,599.81","1,563.93","8.48M","2.11%"
"2023- 02- 20","1,564.52","1,576.73","1,577.03","1,551.30","10.07M","-1.02%"
"2023- 02- 17","1,580.62","1,572.15","1,597.66","1,568.52","8.03M","-0.61%"
"2023- 02- 16","1,590.32","1,555.73","1,597.23","1,554.76","15.57M","3.04%"
"2023- 02- 15","1,543.35","1,580.77","1,581.08","1,538.20","8.67M","-2.72%"
"2023- 02- 14","1,586.55","1,597.05","1,602.71","1,579.63","4.52M","-0.08%"
"2023- 02- 13","1,587.87","1,583.60","1,600.45","1,578.35","5.00M","0.07%"
"2023- 02- 10","1,586.77","1,592.12","1,595.40","1,579.03","5.60M","-0.87%"
"2023- 02- 09","1,600.75","1,582.11","1,613.57","1,580.03","7.04M","0.49%"
"2023- 02- 08","1,592.94","1,600.61","1,602.86","1,590.93","6.64M","0.03%"
"2023- 02- 07","1,592.49","1,591.58","1,605.89","1,585.49","8.43M","0.08%"
"2023- 02- 06","1,591.29","1,591.38","1,613.96","1,582.68","5.47M","-0.74%"
"2023- 02- 03","1,603.09","1,596.00","1,605.45","1,588.87","5.62M","-0.31%"
"2023- 02- 02","1,608.10","1,626.22","1,634.55","1,605.52","7.51M","0.08%"
"2023- 02- 01","1,606.82","1,594.10","1,606.87","1,585.26","4.87M","1.12%"
"2023- 01- 31","1,589.00","1,587.05","1,604.56","1,576.54","4.92M","0.02%"
"2023- 01- 30","1,588.65","1,615.27","1,621.24","1,584.90","5.04M","-1.77%"
