"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 10- 02","285.56","288.46","290.63","285.56","5.65M","-1.28%"
"2019- 10- 01","289.25","287.28","292.46","286.25","5.38M","0.33%"
"2019- 09- 30","288.31","284.33","288.99","283.41","4.68M","1.24%"
"2019- 09- 27","284.79","289.06","289.18","283.43","4.84M","-1.60%"
"2019- 09- 26","289.42","290.81","292.39","286.73","5.99M","0.31%"
"2019- 09- 25","288.52","294.14","294.85","288.06","7.87M","-2.31%"
"2019- 09- 24","295.34","295.72","296.99","293.32","10.61M","-0.68%"
"2019- 09- 23","297.37","295.73","297.84","294.84","7.61M","0.69%"
"2019- 09- 20","295.32","291.60","295.32","290.64","6.04M","1.17%"
"2019- 09- 19","291.90","292.03","294.58","290.65","6.46M","-0.39%"
"2019- 09- 18","293.03","295.21","295.59","290.12","8.99M","-1.30%"
"2019- 09- 17","296.88","295.96","297.94","293.85","12.31M","0.05%"
"2019- 09- 16","296.73","294.31","297.28","293.87","14.23M","2.92%"
"2019- 09- 11","288.31","288.35","288.70","285.72","8.27M","1.24%"
"2019- 09- 10","284.78","281.43","285.25","279.72","7.18M","1.87%"
"2019- 09- 09","279.54","278.65","280.89","277.58","6.69M","1.32%"
"2019- 09- 06","275.90","275.72","279.40","274.38","6.97M","1.33%"
"2019- 09- 05","272.29","271.77","274.18","271.06","6.09M","0.07%"
"2019- 09- 04","272.10","266.84","272.10","266.11","5.34M","1.38%"
"2019- 09- 03","268.39","267.97","270.42","267.27","5.03M","0.26%"
"2019- 09- 02","267.70","266.15","269.08","265.70","4.49M","-0.33%"
"2019- 08- 30","268.58","261.68","269.60","261.14","10.45M","4.19%"
"2019- 08- 29","257.78","258.42","259.11","256.05","4.20M","0.24%"
"2019- 08- 28","257.17","258.53","258.92","254.33","5.46M","-0.45%"
"2019- 08- 27","258.33","262.63","263.00","256.73","7.43M","0.10%"
"2019- 08- 26","258.08","256.37","259.72","255.06","5.17M","-2.02%"
"2019- 08- 23","263.41","261.77","265.67","261.00","4.86M","0.40%"
"2019- 08- 22","262.37","264.52","265.19","261.55","5.67M","-0.93%"
"2019- 08- 21","264.82","263.37","265.86","262.14","5.53M","0.04%"
"2019- 08- 20","264.71","258.59","266.02","258.59","9.06M","2.37%"
"2019- 08- 19","258.57","246.06","258.84","246.02","9.81M","5.83%"
"2019- 08- 16","244.32","241.43","244.93","241.13","3.96M","-0.23%"
"2019- 08- 14","244.88","245.99","246.40","244.28","4.11M","0.17%"
"2019- 08- 13","244.47","243.29","245.79","242.65","3.94M","-0.32%"
"2019- 08- 12","245.25","245.83","247.19","243.81","3.83M","0.29%"
"2019- 08- 09","244.54","243.16","245.54","241.56","4.85M","1.70%"
"2019- 08- 08","240.45","241.49","242.78","239.55","6.16M","1.08%"
"2019- 08- 07","237.88","239.67","241.13","235.69","6.58M","-0.29%"
"2019- 08- 06","238.58","237.56","245.13","233.74","11.29M","-2.48%"
"2019- 08- 05","244.65","253.74","254.42","244.31","11.61M","-3.79%"
"2019- 08- 02","254.28","257.64","258.05","254.07","7.58M","-2.79%"
"2019- 08- 01","261.57","262.62","265.46","260.16","6.46M","-1.26%"
"2019- 07- 31","264.91","261.06","265.54","259.86","5.50M","1.74%"
"2019- 07- 30","260.39","262.88","263.24","260.37","6.50M","-0.79%"
"2019- 07- 29","262.46","261.97","263.99","257.72","9.20M","-0.10%"
"2019- 07- 26","262.72","263.82","264.85","261.80","9.39M","-0.58%"
"2019- 07- 25","264.26","273.65","274.72","261.24","11.88M","-3.95%"
"2019- 07- 24","275.14","275.36","278.46","274.24","6.26M","-0.13%"
"2019- 07- 23","275.51","275.89","277.69","274.65","4.78M","-0.06%"
"2019- 07- 22","275.67","276.66","279.19","275.58","3.30M","-0.75%"
"2019- 07- 19","277.75","275.36","279.03","274.64","5.04M","1.39%"
"2019- 07- 18","273.93","275.76","277.44","273.21","3.66M","-1.13%"
"2019- 07- 17","277.07","279.59","279.70","275.76","3.98M","-1.07%"
"2019- 07- 16","280.06","280.59","281.98","279.08","4.13M","0.19%"
"2019- 07- 15","279.54","282.63","284.24","279.38","4.26M","-0.87%"
"2019- 07- 12","281.99","279.50","282.90","278.38","3.89M","0.75%"
"2019- 07- 11","279.90","275.60","281.07","275.60","6.56M","1.93%"
"2019- 07- 10","274.61","273.09","275.69","271.27","5.23M","0.42%"
"2019- 07- 09","273.46","279.78","280.32","273.46","6.74M","-2.12%"
"2019- 07- 08","279.39","286.89","287.09","279.39","5.92M","-3.22%"
"2019- 07- 05","288.70","288.95","289.67","286.15","3.36M","0.58%"
"2019- 07- 04","287.03","284.99","287.26","283.19","4.83M","1.40%"
"2019- 07- 03","283.06","290.60","291.29","282.81","8.07M","-2.57%"
"2019- 07- 02","290.52","290.72","291.90","289.76","4.51M","-0.47%"
"2019- 07- 01","291.88","293.40","293.80","289.91","7.41M","1.33%"
"2019- 06- 28","288.04","291.46","291.74","286.31","9.24M","-1.12%"
"2019- 06- 27","291.29","291.68","292.65","290.22","4.94M","-0.11%"
"2019- 06- 26","291.62","291.51","293.31","290.30","5.27M","-0.30%"
"2019- 06- 25","292.51","294.65","295.82","291.73","5.99M","-0.59%"
"2019- 06- 24","294.25","294.11","295.58","292.73","6.22M","0.90%"
"2019- 06- 21","291.63","293.05","293.73","291.26","8.10M","0.13%"
"2019- 06- 20","291.24","291.58","292.35","290.42","4.04M","-0.02%"
"2019- 06- 19","291.31","290.15","291.70","289.29","5.52M","1.39%"
"2019- 06- 18","287.32","287.07","289.12","286.15","4.43M","0.34%"
"2019- 06- 17","286.35","289.12","289.69","285.82","4.21M","-1.06%"
"2019- 06- 14","289.43","286.86","290.04","285.93","5.84M","0.36%"
"2019- 06- 13","288.40","286.51","288.54","283.95","7.37M","0.78%"
"2019- 06- 12","286.17","282.73","288.70","282.41","10.26M","1.99%"
"2019- 06- 11","280.58","279.26","281.38","278.43","5.73M","0.41%"
"2019- 06- 10","279.44","277.99","279.54","275.56","5.73M","1.41%"
"2019- 06- 07","275.55","275.75","276.92","272.00","5.48M","0.21%"
"2019- 06- 05","274.96","278.75","278.87","274.52","4.42M","-0.64%"
"2019- 06- 04","276.74","275.12","278.61","275.01","6.53M","0.57%"
"2019- 06- 03","275.18","273.45","276.10","272.53","5.69M","-0.35%"
"2019- 05- 31","276.16","270.71","277.03","269.09","7.46M","1.46%"
"2019- 05- 30","272.19","267.48","272.65","267.31","5.73M","1.69%"
"2019- 05- 29","267.66","273.14","273.20","266.26","6.31M","-1.92%"
"2019- 05- 28","272.89","267.55","272.89","267.20","6.40M","2.02%"
"2019- 05- 27","267.48","266.62","270.58","265.76","4.03M","0.45%"
"2019- 05- 24","266.27","266.96","269.20","265.86","4.33M","-1.16%"
"2019- 05- 23","269.39","267.16","270.14","263.94","6.03M","0.62%"
"2019- 05- 22","267.73","268.15","268.71","265.58","4.43M","0.48%"
"2019- 05- 21","266.45","266.25","268.52","265.76","5.66M","0.02%"
"2019- 05- 20","266.41","272.53","272.97","265.74","5.33M","-1.34%"
"2019- 05- 17","270.04","269.15","273.23","268.73","7.83M","0.19%"
"2019- 05- 16","269.52","273.21","274.50","268.69","5.83M","-1.19%"
"2019- 05- 15","272.77","268.50","273.00","267.00","5.85M","2.03%"
"2019- 05- 14","267.33","264.94","270.51","263.91","7.91M","-0.54%"
"2019- 05- 13","268.79","273.65","274.75","268.22","8.90M","-2.44%"
"2019- 05- 10","275.51","276.12","278.09","272.73","9.16M","0.25%"
"2019- 05- 09","274.83","285.05","285.81","274.83","12.70M","-3.43%"
"2019- 05- 08","284.59","283.64","287.42","283.30","7.73M","-0.62%"
"2019- 05- 07","286.36","289.82","290.07","286.01","18.54M","-3.08%"
"2019- 05- 03","295.47","298.72","300.06","295.47","9.32M","-1.38%"
"2019- 05- 02","299.59","291.56","299.91","290.59","15.44M","2.21%"
"2019- 04- 30","293.10","295.38","295.77","290.02","8.29M","-0.73%"
"2019- 04- 29","295.26","292.29","295.26","290.33","6.29M","1.13%"
"2019- 04- 26","291.96","289.61","292.53","289.59","8.57M","0.52%"
"2019- 04- 25","290.45","292.86","293.33","290.16","6.75M","-0.87%"
"2019- 04- 24","293.01","298.95","298.95","292.71","10.24M","-1.96%"
"2019- 04- 23","298.88","298.54","300.39","297.09","16.03M","2.08%"
"2019- 04- 22","292.80","293.83","294.14","291.05","6.15M","-0.31%"
"2019- 04- 19","293.72","296.60","297.55","293.29","6.15M","-0.61%"
"2019- 04- 18","295.52","300.28","302.26","295.02","7.60M","-1.72%"
"2019- 04- 17","300.68","302.45","302.49","300.08","5.57M","-0.85%"
"2019- 04- 16","303.26","301.86","304.22","300.55","6.81M","0.09%"
"2019- 04- 15","302.98","303.04","303.77","301.51","6.46M","0.62%"
"2019- 04- 12","301.10","299.05","301.65","298.46","6.03M","-0.01%"
"2019- 04- 11","301.13","300.58","301.98","299.81","8.02M","0.52%"
"2019- 04- 10","299.56","299.67","300.35","297.77","4.80M","-0.15%"
"2019- 04- 09","300.00","299.38","303.05","298.20","6.02M","0.34%"
"2019- 04- 08","298.99","303.31","303.31","298.66","5.53M","-1.16%"
"2019- 04- 05","302.50","298.26","303.28","297.46","7.73M","1.54%"
"2019- 04- 04","297.92","299.27","299.89","296.91","5.05M","-0.46%"
"2019- 04- 03","299.29","296.05","299.33","295.38","5.32M","0.92%"
"2019- 04- 02","296.56","297.08","297.62","294.63","6.50M","0.18%"
"2019- 04- 01","296.03","292.32","296.49","292.07","9.45M","2.01%"
"2019- 03- 29","290.20","284.44","290.37","284.17","8.61M","2.86%"
"2019- 03- 28","282.12","284.03","284.48","281.06","9.65M","-1.45%"
